Y,Temp,Humidity,Wind Speed,Weekend,Region,TimeOfDay
3859.54,28,0.89,1.5,0,Delhi,Night
3799.13,28,0.89,1.5,0,Delhi,Night
3745.025,28,0.89,1.5,0,Delhi,Night
3750.525,28,0.89,1.5,0,Delhi,Night
3682.44,28,0.89,1.5,0,Delhi,Night
3648.405,27,0.94,1.5,0,Delhi,Night
3536.965,27,0.94,2.1,0,Delhi,Night
3466.28,27,1.00,1.5,0,Delhi,Night
3372.465,27,1.00,1.5,0,Delhi,Night
3321.36,27,1.00,1,0,Delhi,Morning
3315.26,27,1.00,1,0,Delhi,Morning
3271.065,27,1.00,1.5,0,Delhi,Morning
3314.895,27,1.00,1.5,0,Delhi,Morning
3287.965,27,1.00,2.1,0,Delhi,Morning
3324.815,27,1.00,2.1,0,Delhi,Morning
3428.23,28,0.94,2.1,0,Delhi,Morning
3481.32,28,0.94,2.1,0,Delhi,Morning
3539.3,28,0.94,2.1,0,Delhi,Morning
3845.635,28,0.94,2.1,0,Delhi,Morning
4055.71,28,0.94,4.1,0,Delhi,Morning
4223.82,29,0.84,3.6,0,Delhi,Morning
4174.945,29,0.84,3.1,0,Delhi,Morning
4177.485,29,0.84,3.6,0,Delhi,Morning
4229.825,29,0.84,3.6,0,Delhi,Afternoon
4391.635,30,0.79,4.6,0,Delhi,Afternoon
4368.73,30,0.79,4.6,0,Delhi,Afternoon
4225.605,31,0.70,5.1,0,Delhi,Afternoon
4220.2,31,0.70,4.6,0,Delhi,Afternoon
4481.02,32,0.66,4.1,0,Delhi,Afternoon
4574.615,32,0.66,4.1,0,Delhi,Afternoon
4595.43,32,0.66,4.6,0,Delhi,Afternoon
4456.605,31,0.70,6.2,0,Delhi,Afternoon
4370.675,30,0.70,6.2,0,Delhi,Afternoon
4204.64,30,0.74,4.6,0,Delhi,Afternoon
4123.455,30,0.74,4.1,0,Delhi,Afternoon
4112.57,30,0.74,4.1,0,Delhi,Evening
4026.16,30,0.74,4.1,0,Delhi,Evening
4114.44,29,0.74,3.1,0,Delhi,Evening
4119.42,29,0.74,4.1,0,Delhi,Evening
3993.85,27,0.89,5.7,0,Delhi,Evening
3892.02,27,0.89,5.1,0,Delhi,Evening
3836.49,27,0.89,4.1,0,Delhi,Evening
3813.1,27,0.89,1,0,Delhi,Evening
3939.07,27,0.89,1,0,Delhi,Night
4015.49,27,0.89,1,0,Delhi,Night
4090.255,27,0.89,2.1,0,Delhi,Night
4097.39,27,0.94,1.5,0,Delhi,Night
4018.06,27,0.94,2.1,0,Delhi,Night
3886.325,27,0.94,1,0,Delhi,Night
3807.255,27,0.94,1,0,Delhi,Night
3744.37,27,0.94,1,0,Delhi,Night
3747.005,27,0.94,2.6,0,Delhi,Night
3655.64,27,0.94,2.1,0,Delhi,Night
3594.28,27,0.94,3.1,0,Delhi,Night
3491.79,27,0.94,3.1,0,Delhi,Night
3499.26,27,0.94,2.6,0,Delhi,Night
3498.255,27,0.94,2.1,0,Delhi,Night
3488.865,27,0.94,2.1,0,Delhi,Morning
3493.72,27,0.94,2.6,0,Delhi,Morning
3495.935,27,0.94,2.6,0,Delhi,Morning
3344.415,27,0.94,3.1,0,Delhi,Morning
3361.11,27,0.94,2.6,0,Delhi,Morning
3350.92,27,0.94,2.6,0,Delhi,Morning
3329.725,28,0.89,2.1,0,Delhi,Morning
3423.295,28,0.89,2.1,0,Delhi,Morning
3488.94,29,0.84,4.1,0,Delhi,Morning
3637.475,29,0.84,4.1,0,Delhi,Morning
3918.285,30,0.79,3.1,0,Delhi,Morning
